ticker_observado,emissor_id,setor,subsetor,segmento,fonte,data_fonte,evidencia,estabilidade_documentada,validade_inicio,validade_fim,confianca,status_revisao
EQTL3,EQTL,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=EQTL; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
ESTC3,ESTC,Consumo Cíclico,Diversos,Serviços Educacionais,https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,documento indicado registra ESTC3 em Consumo Cíclico / Diversos / Serviços Educacionais; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2019-07-22,alta,confirmado
EVEN3,EVEN,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=EVEN; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
EZTC3,EZTC,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=EZTC; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
FIBR3,FIBR,Materiais Básicos,Madeira e Papel,Papel e Celulose,https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,documento indicado registra FIBR3 em Materiais Básicos / Madeira e Papel / Papel e Celulose; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2019-01-03,alta,confirmado
FLRY3,FLRY,Saúde,"Serv.Méd.Hospit.,Análises e Diagnósticos","Serv.Méd.Hospit.,Análises e Diagnósticos",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=FLRY; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
GFSA3,GFSA,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=GFSA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
GGBR4,GGBR,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=GGBR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
GGPS3,GGPS,Bens Industriais,Serviços,Serviços Diversos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=GGPS; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-04-26,2026-07-27,alta,confirmado
GMAT3,GMAT,Consumo não Cíclico,Comércio e Distribuição,Alimentos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=GMAT; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2020-10-13,2026-07-27,alta,confirmado
GNDI3,GNDI,Saúde,"Serv.Méd.Hospit.,Análises e Diagnósticos","Serv.Méd.Hospit.,Análises e Diagnósticos",https://www.fundamentus.com.br/detalhes.php?papel=GNDI3,2026-08-07,"documento indicado registra GNDI3 em Saúde / Serv.Méd.Hospit.,Análises e Diagnósticos / Serv.Méd.Hospit.,Análises e Diagnósticos; identidade e atividade reconciliadas com FCA/CVM",sim,2018-04-23,2022-02-11,alta,confirmado
GOAU4,GOAU,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=GOAU; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
GOLL4,GOLL,Bens Industriais,Transporte,Linhas Aéreas de Passageiros,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=GOLL; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-06-11,alta,confirmado
GRND3,GRND,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=GRND; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
GUAR3,GUAR,Consumo Cíclico,Comércio Varejista,"Tecidos, Vestuário e Calçados",B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=GUAR; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2026-02-04,alta,confirmado
HAPV3,HAPV,Saúde,"Serv.Méd.Hospit.,Análises e Diagnósticos","Serv.Méd.Hospit.,Análises e Diagnósticos",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=HAPV; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2018-04-25,2026-07-27,alta,confirmado
HGTX3,HGTX,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Vestuário,https://www.fundamentus.com.br/detalhes.php?papel=HGTX3,2026-08-07,"documento indicado registra HGTX3 em Consumo Cíclico / Tecidos, Vestuário e Calçados / Vestuário; identidade e atividade reconciliadas com FCA/CVM",sim,2015-01-02,2021-09-17,alta,confirmado
HYPE3,HYPE,Consumo não Cíclico,Diversos,Produtos Diversos,https://revistas.fucamp.edu.br/index.php/contabilometria/article/download/1186/986 | https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/FCA/DADOS/,2017-04-28,B3 jan-abr/2017 ainda em Produtos Diversos; fronteira interval-censored; convenção anual independente dos retornos,sim,2015-01-02,2017-12-31,media,confirmado
HYPE3,HYPE,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,https://ri.hypera.com.br/hypera-pharma/perfil-corporativo/ | https://pt.scribd.com/document/420583959/listagem-Bovespa-portugues,2018-02-08,foco farmacêutico público em 04/12/2017; B3 pós-18/12/2017 já em Saúde; convenção de início 01/01/2018,sim,2018-01-01,2026-07-27,media,confirmado
